23.105279,B,swallowing
23.119823,C,swallowing
24.105140,E,idle
24.105160,E,slurping,1
24.105171,F,idle
24.105181,F,slurping,2
24.105216,A,idle
24.105226,A,slurping,0
24.105255,I,idle
24.105266,I,slurping,2
24.105288,J,swallowing
24.105308,D,swallowing
24.105318,K,idle
24.105329,K,slurping,2
24.105785,G,idle
24.105808,G,slurping,1
24.105816,H,idle
24.105840,H,slurping,0
24.105848,B,idle
24.105864,B,slurping,1
24.119917,C,idle
24.119960,C,slurping,0
25.105245,E,swallowing
25.105289,F,swallowing
25.105315,A,swallowing
25.105337,I,swallowing
25.105358,J,idle
25.105377,J,slurping,1
25.105385,D,idle
25.105395,D,slurping,2
25.105418,K,swallowing
25.105869,G,swallowing
25.105910,H,swallowing
25.105973,B,swallowing
25.120043,C,swallowing
26.105341,E,idle
26.105365,E,slurping,2
26.105388,F,idle
26.105409,F,slurping,0
26.105419,A,idle
26.105442,I,idle
26.105454,J,swallowing
26.105459,I,slurping,0
26.105465,K,idle
26.105477,K,slurping,0
26.105484,A,slurping,1
26.105513,D,swallowing
26.105940,G,idle
26.105973,G,slurping,2
26.105991,H,idle
26.106032,H,slurping,1
26.106049,B,idle
26.106082,B,slurping,2
26.120126,C,idle
26.120155,C,slurping,1
27.105453,E,swallowing
27.105495,F,swallowing
27.105521,I,swallowing
27.105554,K,swallowing
27.105569,A,swallowing
27.105580,D,idle
27.105590,J,idle
27.105596,D,slurping,0
27.105618,J,slurping,2
27.106046,G,swallowing
27.106087,H,swallowing
27.106160,B,swallowing
27.120216,C,swallowing
28.105567,E,idle
28.105596,F,idle
28.105604,E,slurping,0
28.105609,I,idle
28.105648,I,slurping,1
28.105659,K,idle
28.105679,A,idle
28.105692,A,slurping,2
28.105703,D,swallowing
28.105726,J,swallowing
28.105746,K,slurping,1
28.105762,F,slurping,1
28.106119,G,idle
28.106135,G,slurping,0
28.106162,H,idle
28.106212,H,slurping,2
28.106229,B,idle
28.106261,B,slurping,0
28.120299,C,idle
28.120344,C,slurping,2
29.105668,E,swallowing
29.105746,I,swallowing
